Enabled,Catalog ID,Full Product Name,Label Name,Amount,Unit,Vial mL,Label Type,Label Size,Template File,Form Text,Storage Temp,Material Color,Visual Type,Base Vial Asset,Diluent,Concentration,Dose Range,Dose Units,QR URL Override,QR Value,QR Enabled,Mascot Enabled,Brand Gap Chars,Company Name,Header Company,Legal Line 1,Legal Line 2,Legal Line 3,Label Output Stem,Website Output Stem,Source,Notes
TRUE,UD-0210,PE-22-28,PE-22-28,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|PE-22-28|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PE_22_28_5MG_40x20_Catalog,PE_22_28_5MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0211,PE-22-28,PE-22-28,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|PE-22-28|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PE_22_28_10MG_40x20_Catalog,PE_22_28_10MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0212,PEG MGF,PEG MGF,2,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,0.8 mL,2.5 mg/mL,,,,UD|PEG MGF|2MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PEG_MGF_2MG_40x20_Catalog,PEG_MGF_2MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0213,Pinealon,PINEALON,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|PINEALON|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PINEALON_5MG_40x20_Catalog,PINEALON_5MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0214,Pinealon,PINEALON,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|PINEALON|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PINEALON_10MG_40x20_Catalog,PINEALON_10MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0215,Pinealon,PINEALON,20,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,10 mg/mL,,,,UD|PINEALON|20MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PINEALON_20MG_40x20_Catalog,PINEALON_20MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0216,PM: Gaba 100mg/ml Melatonin1mg/ml Arginine 100mg/m,PG100MGMMMA100MG,0,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|PG100MGMMMA100MG|0MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PG100MGMMMA100MG_0MG_40x20_Catalog,PG100MGMMMA100MG_0MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0217,PT-141,PT-141,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|PT-141|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PT_141_10MG_40x20_Catalog,PT_141_10MG_3mL_Website,peptide-master-list / Live shop; pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0218,PT141,PT141,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|PT141|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,PT141_10MG_40x20_Catalog,PT141_10MG_3mL_Website,peptide-master-list / extended list,
TRUE,UD-0219,RelaxatalonPM,RELAXATALONPM,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|RELAXATALONPM|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,RELAXATALONPM_10MG_40x20_Catalog,RELAXATALONPM_10MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0220,Retatrutide,RETATRUTIDE,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,0.5 mL,10 mg/mL,,,,UD|RETATRUTIDE|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,RETATRUTIDE_5MG_40x20_Catalog,RETATRUTIDE_5MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
